site,azimuth_a,azimuth_b,n_kp_a,n_kp_b,n_good,n_inliers,dcx,h_scale,s_area,d_area
pyronear-sdis-07_serre-de-barre,50,150,74,56,1,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,50,160,74,41,1,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,50,173,74,19,2,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,50,203,74,484,1,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,50,250,74,342,1,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,50,257,74,447,1,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,50,270,74,14,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,50,300,74,775,3,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,50,310,74,2000,3,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,50,318,74,2001,2,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,50,350,74,250,3,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,54,55,14,2001,1,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,54,108,14,618,1,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,54,150,14,56,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,54,160,14,41,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,54,173,14,19,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,54,203,14,484,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,54,250,14,342,7,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,54,257,14,447,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,54,270,14,14,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,54,300,14,775,4,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,54,310,14,2000,2,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,54,318,14,2001,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,54,350,14,250,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,55,173,2001,19,92,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,55,270,2001,14,4,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,108,150,618,56,16,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,108,173,618,19,20,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,108,257,618,447,8,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,108,270,618,14,1,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,108,310,618,2000,5,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,108,318,618,2001,2,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,108,350,618,250,5,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,150,160,56,41,5,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,150,173,56,19,6,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,150,203,56,484,3,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,150,250,56,342,2,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,150,257,56,447,3,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,150,270,56,14,5,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,150,300,56,775,2,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,150,310,56,2000,2,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,150,318,56,2001,3,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,150,350,56,250,6,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,160,173,41,19,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,160,203,41,484,3,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,160,250,41,342,3,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,160,257,41,447,5,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,160,270,41,14,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,160,300,41,775,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,160,310,41,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,160,318,41,2001,2,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,160,350,41,250,5,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,173,203,19,484,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,173,250,19,342,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,173,257,19,447,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,173,270,19,14,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,173,300,19,775,1,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,173,310,19,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,173,318,19,2001,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,173,350,19,250,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,203,270,484,14,33,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,250,270,342,14,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,250,318,342,2001,5,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,257,270,447,14,32,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,257,300,447,775,26,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,270,300,14,775,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,270,310,14,2000,1,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,270,318,14,2001,0,0,0.0,,0.0,0.0
pyronear-sdis-07_serre-de-barre,270,350,14,250,0,0,0.0,,0.0,0.0
pyronear-sdis-12_fontaneilles,216,257,434,503,77,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,28,218,2000,2001,3,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,28,254,2000,2001,12,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,28,264,2000,1712,6,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,30,100,569,49,9,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,30,209,569,295,6,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,30,254,569,2001,9,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,30,337,569,2000,5,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,48,83,2000,6,151,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,48,100,2000,49,7,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,48,218,2000,2001,3,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,100,6,49,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,112,6,1310,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,113,6,1243,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,136,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,150,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,200,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,209,6,295,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,213,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,218,6,2001,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,246,6,831,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,250,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,254,6,2001,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,264,6,1712,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,300,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,315,6,1277,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,337,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,346,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,350,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,83,357,6,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,112,49,1310,1,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,136,49,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-12_pouncho-agast,100,150,49,2000,0,0,0.0,,0.0,0.0
