site,azimuth_a,azimuth_b,n_kp_a,n_kp_b,n_good,n_inliers,dcx,h_scale,s_area,d_area
pyronear-sdis-77_moret-sur-loing,90,150,393,2000,0,0,0.0,,0.0,0.0
pyronear-sdis-77_moret-sur-loing,90,200,393,2000,3,0,0.0,,0.0,0.0
pyronear-sdis-77_moret-sur-loing,90,300,393,150,6,0,0.0,,0.0,0.0
pyronear-sdis-77_moret-sur-loing,90,359,393,2001,3,0,0.0,,0.0,0.0
pyronear-sdis-77_moret-sur-loing,250,359,2000,2001,5,0,0.0,,0.0,0.0
pyronear-sdis-77_moret-sur-loing,300,350,150,287,1,0,0.0,,0.0,0.0
pyronear-sdis-77_moret-sur-loing,350,359,287,2001,1,0,0.0,,0.0,0.0
pyronear-sdis-77_nemours,50,150,1808,2000,12,0,0.0,,0.0,0.0
pyronear-sdis-77_nemours,147,246,2000,369,5,0,0.0,,0.0,0.0
pyronear-sdis-77_nemours,147,300,2000,2000,1,0,0.0,,0.0,0.0
pyronear-sdis-77_nemours,150,300,2000,2000,3,0,0.0,,0.0,0.0
pyronear-sdis-77_nemours,246,250,369,2000,2,0,0.0,,0.0,0.0
pyronear-sdis-77_nemours,246,291,369,2000,7,0,0.0,,0.0,0.0
pyronear-sdis-77_nemours,246,300,369,2000,1,0,0.0,,0.0,0.0
pyronear-sdis-77_nemours,246,340,369,2000,2,0,0.0,,0.0,0.0
pyronear-sis-67_bischwiller,12,200,2000,2000,7,0,0.0,,0.0,0.0
pyronear-sis-67_bischwiller,12,277,2000,2000,8,0,0.0,,0.0,0.0
pyronear-sis-67_bischwiller,150,300,2000,2000,3,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,50,79,115,2001,4,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,50,100,115,476,2,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,50,125,115,2000,3,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,50,150,115,2000,2,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,50,172,115,2000,1,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,50,200,115,2000,2,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,50,267,115,2000,5,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,50,300,115,2000,6,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,50,350,115,2000,3,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,100,267,476,2000,11,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,100,348,476,2000,3,0,0.0,,0.0,0.0
pyronear-sis-67_haguenau,150,250,2000,1726,6,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas-01,15,285,686,153,0,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas-01,60,285,385,153,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas-01,60,327,385,269,3,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas-02,100,190,2000,1266,2,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas-02,100,235,2000,2000,9,0,0.0,,0.0,0.0
pyronear-sdis-77_croix-augas-02,146,235,1145,2000,14,0,0.0,,0.0,0.0
pyronear-sdis-77_moret-sur-loing-01,144,235,580,2000,5,0,0.0,,0.0,0.0
